,issue_id,issue_comments,issue_desc,created_at,closed_at
844,ELY-1487,"DIGEST-SHA-256 and DIGEST-SHA-512-256 are not correctly registered:

When trying to deploy application using one of them for authentication:
{code}
org.jboss.arquillian.container.spi.client.container.DeploymentException: Cannot deploy DigestSha256MechTestCase.war: {""WFLYCTL0062: Composite operation failed and was rolled back. Steps that failed:"" => {""Operation step-1"" => {""WFLYCTL0080: Failed services"" => {""jboss.undertow.deployment.default-server.default-host./DigestSha256MechTestCase"" => ""java.lang.RuntimeException: java.lang.IllegalStateException: WFLYUT0084: There are no mechanisms available from the HttpAuthenticationFactory.
    Caused by: java.lang.RuntimeException: java.lang.IllegalStateException: WFLYUT0084: There are no mechanisms available from the HttpAuthenticationFactory.
    Caused by: java.lang.IllegalStateException: WFLYUT0084: There are no mechanisms available from the HttpAuthenticationFactory.""}}}}
{code}

Problem is mechanisms are missing in output of {{ServerMechanismFactoryImpl.getMechanismNames()}}.",,,
850,ELY-1476,"Each of these ens up being backed by their own lambda, if we add a Supplier<Provider[]> INSTALLED_PROVDERS = Security::getProviders to ProviderUtil all can share this.",,,
889,ELY-1458,"With IBM java
{noformat}
java -version
java version ""1.8.0""
Java(TM) SE Runtime Environment (build pxa6480sr4fp6-20170518_02(SR4 FP6))
IBM J9 VM (build 2.8, JRE 1.8.0 Linux amd64-64 Compressed References 20170516_348050 (JIT enabled, AOT enabled)
J9VM - R28_20170516_1905_B348050
JIT  - tr.r14.java_20170516_348050
GC   - R28_20170516_1905_B348050_CMPRSS
J9CL - 20170516_348050)
JCL - 20170516_01 based on Oracle jdk8u131-b11
{noformat}

run test
{noformat}
 mvn test -Dtest=SelfSignedX509CertificateAndSigningKeyTest

[INFO] Running org.wildfly.security.x500.cert.SelfSignedX509CertificateAndSigningKeyTest
[ERROR] Tests run: 9, Failures: 1, Errors: 0, Skipped: 0, Time elapsed: 2.372 s <<< FAILURE! - in org.wildfly.security.x500.cert.SelfSignedX509CertificateAndSigningKeyTest
[ERROR] testSelfSignedCertificateWithStringExtensionValues(org.wildfly.security.x500.cert.SelfSignedX509CertificateAndSigningKeyTest)  Time elapsed: 0.274 s  <<< FAILURE!
java.lang.AssertionError
	at org.wildfly.security.x500.cert.SelfSignedX509CertificateAndSigningKeyTest.testSelfSignedCertificateWithStringExtensionValues(SelfSignedX509CertificateAndSigningKeyTest.java:197)

{noformat}

This is test line failing
{code:java|title=SelfSignedX509CertificateAndSigningKeyTest.java}
        byte[] authorityInfoAccessExtension = certificate.getExtensionValue(X500.OID_PE_AUTHORITY_INFO_ACCESS);
        assertNotNull(authorityInfoAccessExtension);
{code}",,,
893,ELY-1456,"Two same sql queries are performed on authentication attempt using jdbc-realm.

{noformat}
2017-11-29T15:53:32.399596Z   338 Query select password from user where email = 'alberto@myapp.com'
2017-11-29T15:53:32.400879Z   338 Query select role, 'Roles' from user_role_auth where email = 'alberto@myapp.com'
2017-11-29T15:53:32.402531Z   338 Query select password from user where email = 'alberto@myapp.com'
{noformat}",,,
898,ELY-1453,"SigTest check reveals:
{noformat}
Hidden class found:
org.wildfly.security.auth.server.event.RealmDefiniteOutcomeAuthenticationEvent
in method public
{org.wildfly.security.auth.server.event.RealmEventVisitor%1}
org.wildfly.security.auth.server.event.RealmEventVisitor.handleDefiniteOutcomeAuthenticationEvent(org.wildfly.security.auth.server.event.RealmDefiniteOutcomeAuthenticationEvent,{org.wildfly.security.auth.server.event.RealmEventVisitor%0})
in class org.wildfly.security.auth.server.event.RealmEventVisitor
{noformat}

Fix could be as easy as make RealmDefiniteOutcomeAuthenticationEvent public.

But I still left for developers judgement if make constructor of RealmDefiniteOutcomeAuthenticationEvent package private. Thus RealmDefiniteOutcomeAuthenticationEvent can't be inherited from. If that was reason for not marking this class as public originally.
",,,
899,ELY-1452,"{noformat}
Class org.wildfly.security.mechanism.MechanismUtil
  ""E1.2 - API type removed"" : method public final static void org.wildfly.security.mechanism.MechanismUtil.handleCallbacks(java.lang.String,javax.security.auth.callback.CallbackHandler,javax.security.auth.callback.Callback[])
{noformat}

Comparing latest from 1.1.x and 1.2.x
Base version: 1.1.8.CR1-SNAPSHOT
Tested version: 1.2.0.Beta10-SNAPSHOT

Incompatible change was introduced by [1]

[1] https://github.com/wildfly-security/wildfly-elytron/commit/c1a5ce817635d39d649a0b415a46bc2c7418255b#diff-dc452f10810725ac3695fb239ad9639fL152",,,
900,ELY-1448,"Backwards compatibility has been broken on the public handleCallbacks methods so this needs to be fixed.

However this class should not really be a public API, it has been picked up in the package as we have the AuthenticationMechanismException which does need to be public.

The entire class should be deprecated and the impl moved to a private package.
",,,
909,ELY-1447,NoData,,,
917,ELY-1428,"Trying to configure ejb client 2-way TLS authentication with Elytron. I am getting ""Invalid algorithm ""clear"" without use of programatically registering Elytron provider.

{noformat}
Security.addProvider(new WildFlyElytronProvider());
{noformat}

Specifying this in {{wildfly-config.xml}} doesn't help:
{noformat}
<providers>
            <use-service-loader/>
</providers>
{noformat}

Example of {{wildfly-config.xml}} where I need this when using it with EJB client:
{code:xml}
<configuration>
    <authentication-client xmlns=""urn:elytron:1.0"">
        <authentication-rules>
            <rule use-configuration=""default""/>
        </authentication-rules>
        <authentication-configurations>
            <configuration name=""default"">
                <credentials>
                    <key-store-reference key-store-name=""client-keystore"" alias=""joe"">
                        <key-store-clear-password password=""abcdef""/>
                    </key-store-reference>
                </credentials>
            </configuration>
        </authentication-configurations>
        <key-stores>
            <key-store name=""client-keystore"" type=""JKS"">
                <file name=""${keystore.path:src/main/resources/client.keystore}""/>
                <key-store-clear-password password=""abcdef""/>
            </key-store>
            <key-store name=""client-truststore"" type=""JKS"">
                <file name=""${truststore.path:src/main/resources/client.truststore}""/>
            </key-store>
        </key-stores>
        <ssl-contexts>
            <ssl-context name=""client-ssl-context"">
                <trust-store key-store-name=""client-truststore""/>
                <key-store-ssl-certificate key-store-name=""client-keystore"" alias=""joe"">
                    <key-store-clear-password password=""abcdef""/>
                </key-store-ssl-certificate>
            </ssl-context>
        </ssl-contexts>
        <ssl-context-rules>
            <rule use-ssl-context=""client-ssl-context""/>
        </ssl-context-rules>
    </authentication-client>
</configuration>
{code}

Without installing the Elytron provider, the client will fail with this error:
{noformat}
Exception in thread ""main"" java.lang.ExceptionInInitializerError
	at org.wildfly.security.auth.client.AuthenticationContext.lambda$static$0(AuthenticationContext.java:49)
	at org.wildfly.common.context.ContextManager.getPrivileged(ContextManager.java:282)
	at org.wildfly.security.auth.client.AuthenticationContext.captureCurrent(AuthenticationContext.java:81)
	at org.wildfly.naming.client.ProviderEnvironment$1.get(ProviderEnvironment.java:89)
	at org.wildfly.naming.client.ProviderEnvironment$1.get(ProviderEnvironment.java:87)
	at org.jboss.ejb.client.EJBClientInvocationContext.<init>(EJBClientInvocationContext.java:87)
	at org.jboss.ejb.client.EJBInvocationHandler.invoke(EJBInvocationHandler.java:154)
	at org.jboss.ejb.client.EJBInvocationHandler.invoke(EJBInvocationHandler.java:100)
	at com.sun.proxy.$Proxy2.hello(Unknown Source)
	at client.Client.main(Client.java:21)
Caused by: org.wildfly.security.auth.client.InvalidAuthenticationConfigurationException: org.wildfly.client.config.ConfigXMLParseException: ELY01135: Failed to load keystore data
	at file:/home/jmartisk/Workspace/mock-artifacts/ejbclient/eap7.1-elytron-certificate-auth-with-two-way-ssl/client/target/classes/META-INF/wildfly-config.xml:9:87
	at org.wildfly.security.auth.client.DefaultAuthenticationContextProvider.lambda$static$0(DefaultAuthenticationContextProvider.java:40)
	at java.security.AccessController.doPrivileged(Native Method)
	at org.wildfly.security.auth.client.DefaultAuthenticationContextProvider.<clinit>(DefaultAuthenticationContextProvider.java:36)
	... 10 more
Caused by: org.wildfly.client.config.ConfigXMLParseException: ELY01135: Failed to load keystore data
	at file:/home/jmartisk/Workspace/mock-artifacts/ejbclient/eap7.1-elytron-certificate-auth-with-two-way-ssl/client/target/classes/META-INF/wildfly-config.xml:9:87
	at org.wildfly.security.auth.client.ElytronXmlParser.lambda$parseKeyStoreRefType$44(ElytronXmlParser.java:1410)
	at org.wildfly.security.auth.client.ElytronXmlParser.lambda$parseCredentialsType$28(ElytronXmlParser.java:952)
	at org.wildfly.security.auth.client.ElytronXmlParser.lambda$andThenOp$26(ElytronXmlParser.java:939)
	at org.wildfly.security.auth.client.ElytronXmlParser.lambda$parseCredentialsType$36(ElytronXmlParser.java:997)
	at org.wildfly.security.auth.client.ElytronXmlParser.lambda$parseAuthenticationConfigurationType$21(ElytronXmlParser.java:733)
	at org.wildfly.security.auth.client.ElytronXmlParser.lambda$andThenOp$26(ElytronXmlParser.java:939)
	at org.wildfly.security.auth.client.ElytronXmlParser.lambda$parseAuthenticationConfigurationType$25(ElytronXmlParser.java:781)
	at org.wildfly.security.auth.client.ElytronXmlParser.lambda$parseAuthenticationRuleType$10(ElytronXmlParser.java:613)
	at org.wildfly.security.auth.client.ElytronXmlParser.lambda$parseRulesType$11(ElytronXmlParser.java:639)
	at org.wildfly.security.auth.client.ElytronXmlParser.parseAuthenticationClientType(ElytronXmlParser.java:337)
	at org.wildfly.security.auth.client.ElytronXmlParser.parseAuthenticationClientConfiguration(ElytronXmlParser.java:214)
	at org.wildfly.security.auth.client.ElytronXmlParser.parseAuthenticationClientConfiguration(ElytronXmlParser.java:175)
	at org.wildfly.security.auth.client.DefaultAuthenticationContextProvider.lambda$static$0(DefaultAuthenticationContextProvider.java:38)
	... 12 more
Caused by: java.security.NoSuchAlgorithmException: ELY08028: Invalid algorithm ""clear""
	at org.wildfly.security.password.PasswordFactory.getInstance(PasswordFactory.java:121)
	at org.wildfly.security.password.PasswordFactory.getInstance(PasswordFactory.java:75)
	at org.wildfly.security.auth.client.ElytronXmlParser.lambda$parseKeyStoreRefType$44(ElytronXmlParser.java:1376)
	... 24 more
{noformat}

Using credential-store-reference clear-text cause similar error.

There is example of clear passwords which works, so it will be problem of this specific elements:
{code:xml}
<authentication-client xmlns=""urn:elytron:1.0"">
        <authentication-rules>
            <rule use-configuration=""default""/>
        </authentication-rules>
        <authentication-configurations>
            <configuration name=""default"">
                <sasl-mechanism-selector selector=""DIGEST-MD5""/>
                <set-user-name name=""joe""/>
                <credentials>
                    <clear-password password=""joeIsAwesome2013!""/>
                </credentials>
            </configuration>
        </authentication-configurations>
    </authentication-client>	
{code}

",,,
928,ELY-1406,"Fallback on unavailable KDC is on IBM JDK too slow, because server is waiting for the KDC around 30 seconds on every HTTP request.

Should be possible to configure IBM JDK to not contact KDC, or at least to cache failed state of GSSCredential obtaining for defined time period.",,,
930,ELY-1404,"SASL property *com.sun.security.sasl.digest.utf8* does not behave as default when its default value is explicitely configured.
When we ommit this explicit property setting then everything is fine.

This property is described here [1] and *true* is default value. Property is defined in wildfly-core project org.wildfly.security.sasl.WildFlySasl.USE_UTF8.
Here is how to set it [2].

Please check Steps to Reproduce, there is how to update test.

[1] https://doc-stage.usersys.redhat.com/documentation/en-us/red_hat_jboss_enterprise_application_platform/7.1/html-single/how_to_configure_server_security/#sasl_auth_mechanism_props_ref

[2] https://doc-stage.usersys.redhat.com/documentation/en-us/red_hat_jboss_enterprise_application_platform/7.1/html-single/how_to_configure_server_security/#sasl_auth_mechanism_props_specify",,,
932,ELY-1397,Javadoc generated using {{mvn javadoc:javadoc@full-javadoc}} does not include non-exported packages.,,,
933,ELY-1396,"When an element's length is greater than 127 bytes, {{DEREncoder#writeLength}} successfully writes the length octets using the long form where bit 8 of first octet has value ""1"" and bits 7-1 give the number of additional length octets and the second and following octets give the length. However, the value returned by {{writeLength}} in this case is currently just the number of additional length octets. When such an element is part of a SET, this results in the wrong accumulated length for the SET. The value returned by {{writeLength}} should also include the first octet. ",,,
936,ELY-1394,"ElytronClient - sslContext cannot use credential-store-reference clear-text password for key-store-ssl-certificate.

When you define clear-text password with ""<key-store-clear-password password=\""Elytron\""/>\n""
instead of credential-store clear-text password then everything works fine.",,,
946,ELY-1391,Check if all elements in elytron-1_0.xsd are parsed correctly in ElytronXmlParser and vice versa.,,,
