,issue_id,issue_comments,issue_desc,created_at,closed_at
81,UNDERTOW-1839,"On certain specific scenarios, this could lead to a server crash.",,,
95,UNDERTOW-1828,NoData,,,
100,UNDERTOW-1827,"If we don't bumpTimeout on requestStarted, we risk having the timeout expiring right after a new request is done, which is a bug.",,,
101,UNDERTOW-1820,See more information in the PR: https://github.com/undertow-io/undertow/pull/991,,,
103,UNDERTOW-1817,NoData,,,
105,UNDERTOW-1816,"If a GET or POST with no body is sent via HTTPS with an Expect: 100-continue header, then it is silently closed with no response.  Tracing clarifies this is from HttpServerConnection.terminateRequestChannel so relates to the CVE-2020-10705 fix:
{code}
TRACE [io.undertow.request.io] (default task-3) Exception closing read side of SSL channel: javax.net.ssl.SSLException: Inbound closed before receiving peer's close_notify: possible truncation attack?
	at sun.security.ssl.Alerts.getSSLException(Alerts.java:208)
	at sun.security.ssl.SSLEngineImpl.fatal(SSLEngineImpl.java:1647)
	at sun.security.ssl.SSLEngineImpl.fatal(SSLEngineImpl.java:1615)
	at sun.security.ssl.SSLEngineImpl.closeInbound(SSLEngineImpl.java:1542)
	at io.undertow.protocols.ssl.SslConduit.notifyReadClosed(SslConduit.java:628)
	at io.undertow.protocols.ssl.SslConduit.terminateReads(SslConduit.java:219)
	at org.xnio.conduits.AbstractSourceConduit.terminateReads(AbstractSourceConduit.java:42)
	at org.xnio.conduits.AbstractSourceConduit.terminateReads(AbstractSourceConduit.java:42)
	at org.xnio.conduits.ConduitStreamSourceChannel.close(ConduitStreamSourceChannel.java:168)
	at org.xnio.IoUtils.safeClose(IoUtils.java:152)
	at io.undertow.server.protocol.http.HttpServerConnection.terminateRequestChannel(HttpServerConnection.java:149)
{code}
A plain HTTP connection still gives a response.",,,
115,UNDERTOW-1815,"The [PathResourceManager.java|https://github.com/undertow-io/undertow/blob/2.2.2.Final/core/src/main/java/io/undertow/server/handlers/resource/PathResourceManager.java] does a file operation, catches Exception e and includes a SecurityException in the regular logic.
A SecurityException MUST brake the system and stop regular operation. I will provide a fix soon.

{code:java}
    public Resource getResource(final String p) {
//...
        } catch (Exception e) {
            UndertowLogger.REQUEST_LOGGER.debugf(e, ""Invalid path %s"", p);
            return null;
        }
    }
{code}

",,,
116,UNDERTOW-1814,"The [PathResourceManager.java|https://github.com/undertow-io/undertow/blob/2.1.4.Final/core/src/main/java/io/undertow/server/handlers/resource/PathResourceManager.java] does a file operation, catches Exception e and includes a SecurityException in the regular logic.
 A SecurityException MUST brake the system and stop regular operation. I will provide a fix soon.
{code:java}
    public Resource getResource(final String p) {
//...
        } catch (Exception e) {
            UndertowLogger.REQUEST_LOGGER.debugf(e, ""Invalid path %s"", p);
            return null;
        }
    }
{code}",,,
117,UNDERTOW-1813,"The [PathResourceManager.java|https://github.com/undertow-io/undertow/blob/2.0.32.Final/core/src/main/java/io/undertow/server/handlers/resource/PathResourceManager.java] does a file operation, catches Exception e and includes a SecurityException in the regular logic.
A SecurityException MUST brake the system and stop regular operation. I will provide a fix soon.

{code:java}
    public Resource getResource(final String p) {
//...
        } catch (Exception e) {
            UndertowLogger.REQUEST_LOGGER.debugf(e, ""Invalid path %s"", p);
            return null;
        }
    }
{code}

",,,
118,UNDERTOW-1812,"TLSv1.3 does not support renegotiation at all, however it has an extension for post-handshake authentication that java has not implemented. Unfortunately servers using http/2 are required not to support it! Additional information can be found here: [https://bugs.openjdk.java.net/browse/JDK-8206923]",,,
119,UNDERTOW-1807,"InetSocketAddress.toString changed in this release, so the test must normalize values across runtime versions.

For context, see
[https://bugs.openjdk.java.net/browse/JDK-8225499]
[https://mail.openjdk.java.net/pipermail/net-dev/2019-June/012741.html]",,,
120,UNDERTOW-1806,"If a HTTP/2 connection is closed by the remote client (or RST_STREAM is sent), then the completion listener is currently directly invoked by the IO thread.

 

This is problematic as the request might be 'owned' by a different thread, which means that the exchange state can change while the other thread is working on it.

 

This is particularly problematic for the reverse proxy, as if the exchange is ended the connection is returned to the pool, even though it is still processing. Another request can then get allocating this connection, and the request will need to wait until the first backend request has finished.

 

 ",,,
123,UNDERTOW-1795,We used to sort cookies according to name before. We should continue to do so.,,,
