,issue_id,issue_comments,issue_desc,created_at,closed_at
0,WELD-1776,"In ManagerObjectFactory the String WEB_INF_CLASSES is hard coded to ""/WEB-INF/classes"" and is compared to a absolute path in line 54. bda.getId().contains(WEB_INF_CLASSES).

This is not suitable for Windows systems because of the separator (Windows uses '\') so the BeanManager cannot be initialized.

This code was introduced in: https://github.com/weld/core/commit/f98dfb0fbf0a123c2b70558cf422646003adef15",,,
1,WELD-1478,"We recently launched a project into production which uses JSF and CDI WELD. We are now seeing a possible memory leak or a code issue where the HttpConversationContextImpl is of size 500 MB. On further analysis, we found that the dependentInstances in CreationalContext is taking up all the space with 1337867 instances of SerializableContextualInstanceImpl with each of retained heap size of 352. I am not sure how this is object is growing in size , but the application slowly crashes in production. 
We were using 2.0.0 Final and I saw the SP1 patch for it based on issue WELD 1425. I upgraded the weld-serlvet.jar to use 2.0.3 Final, but the issue still persists. ",,,
12,WELD-1771,"When a server side use of CDI is enabled, the ServletContainerInitializer in Weld (org.jboss.weld.environment.servlet.EnhancedListener) will be applied to all webapps equally.

This is to be expected, after all, that's what a ServletContainerInitializer is supposed to do.

However, if you have an environment with multiple webapps, such as ...

 * basic.war
 * cdi-enhanced.war
 * static.war

... and only 1 of the wars uses CDI, then this results in errors for the non-CDI wars.",,,
18,WELD-1751,"When a Weld proxy is generated, its class initializer is seeded with bytecode which uses Class#getDeclaredMethod() calls to get information about proxied methods.  Unfortunately the target class of these calls may include classes which belong to a different class loader (such as Object.class).  This causes the fast security check in SecurityManager to fail and fall back to checking for RuntimePermission(""accessDeclaredMembers""), which fails because the proxy is in a protection domain which generally does not contain this permission.

Some possible ideas for a fix:

# Generate a synthetic protection domain for weld proxies which duplicates the target protection domain but also includes this permission (beware creating large numbers of them though; some kind of mapping cache is in order)
# Disable access checking while initializing classes via the special WildFlySecurityManager.doUnchecked mechanism (this would require a new dependency on wildfly-security-manager though, and only works when that library is the active security manager)
# Modify the proxy generation scheme so that only the current class is the target of getDeclaredMethods(), somehow.
",,,
27,WELD-1568,"The following exception is thrown during container initialization:
{code}
org.jboss.weld.exceptions.WeldException: WELD-001524: Unable to load proxy class for bean Implicit Bean [javax.enterprise.inject.Instance] with qualifiers [@Default] with class interface javax.enterprise.inject.Instance using classloader java.lang.ClassLoader@3a603a60
	at org.jboss.weld.bean.proxy.ProxyFactory.getProxyClass(ProxyFactory.java:315)
	at org.jboss.weld.bean.builtin.AbstractFacadeBean.initializeAfterBeanDiscovery(AbstractFacadeBean.java:60)
	at org.jboss.weld.bootstrap.ConcurrentBeanDeployer$AfterBeanDiscoveryInitializerFactory.doWork(ConcurrentBeanDeployer.java:129)
	at org.jboss.weld.bootstrap.ConcurrentBeanDeployer$AfterBeanDiscoveryInitializerFactory.doWork(ConcurrentBeanDeployer.java:120)
	at org.jboss.weld.executor.IterativeWorkerTaskFactory$1.call(IterativeWorkerTaskFactory.java:60)
	at org.jboss.weld.executor.IterativeWorkerTaskFactory$1.call(IterativeWorkerTaskFactory.java:53)
	at java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:316)
	at java.util.concurrent.FutureTask.run(FutureTask.java:151)
	at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:898)
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:920)
	at java.lang.Thread.run(Thread.java:735)
Caused by: java.lang.RuntimeException: java.lang.ClassFormatError: JVMCFRE068 class name is invalid; class=org/jboss/weldx/enterprise/inject/Instance$Provider$-1193661997$Proxy$_$$_Weld$Proxy$, offset=0
	at org.jboss.weld.util.bytecode.ClassFileUtils.toClass(ClassFileUtils.java:101)
	at org.jboss.weld.bean.proxy.ProxyFactory.createProxyClass(ProxyFactory.java:423)
	at org.jboss.weld.bean.proxy.ProxyFactory.getProxyClass(ProxyFactory.java:308)
	... 10 more
Caused by: java.lang.ClassFormatError: JVMCFRE068 class name is invalid; class=org/jboss/weldx/enterprise/inject/Instance$Provider$-1193661997$Proxy$_$$_Weld$Proxy$, offset=0
	at java.lang.ClassLoader.defineClassImpl(Native Method)
	at java.lang.ClassLoader.defineClass(ClassLoader.java:265)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:59)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:39)
	at java.lang.reflect.Method.invoke(Method.java:612)
	at org.jboss.weld.util.bytecode.ClassFileUtils.toClass2(ClassFileUtils.java:108)
	at org.jboss.weld.util.bytecode.ClassFileUtils.toClass(ClassFileUtils.java:97)
	... 12 more
{code}

It happens that the following call in {{org.jboss.weld.bean.proxy}} returns a negative hashcode:
{code}
if (bean != null) {
    final BeanIdentifier id = Container.instance(contextId).services().get(ContextualStore.class).putIfAbsent(bean);
    name.append(Math.abs(id.hashCode()));
}
{code}
That leads to with an invalid class name.",,,
28,WELD-1828,"WildFly & Weld testsuite both fail on IBM JDK7

usually with IncompatibleClassChangeError
{noformat}
java.lang.IncompatibleClassChangeError: null
    at java.security.AccessController.doPrivileged(AccessController.java:274)
    at org.jboss.weldx.transaction.UserTransaction$1229653199$Proxy$_$$_Weld$Proxy$.<clinit>(Unknown Source)
    at java.lang.J9VMInternals.newInstanceImpl(Native Method)
    at java.lang.Class.newInstance(Class.java:1765)
    at org.jboss.weld.security.NewInstanceAction.run(NewInstanceAction.java:33)
    at java.security.AccessController.doPrivileged(AccessController.java:330)
    at org.jboss.weld.bean.proxy.ProxyFactory.create(ProxyFactory.java:309)
    at org.jboss.weld.bean.builtin.ee.AbstractEEBean.<init>(AbstractEEBean.java:36)
    at org.jboss.weld.bean.builtin.ee.UserTransactionBean.<init>(UserTransactionBean.java:50)
    at org.jboss.weld.bootstrap.BeanDeployment.createBeans(BeanDeployment.java:251)
    at org.jboss.weld.bootstrap.WeldStartup.deployBeans(WeldStartup.java:388)
    at org.jboss.weld.bootstrap.WeldBootstrap.deployBeans(WeldBootstrap.java:83)
    at org.jboss.arquillian.container.weld.ee.embedded_1_1.mock.TestContainer.startContainer(TestContainer.java:273)
    at org.jboss.weld.atinject.tck.AtInjectTCK.suite(AtInjectTCK.java:61)
{noformat}",,,
34,WELD-1666,https://github.com/weld/core/blob/master/impl/src/main/java/org/jboss/weld/ejb/SessionBeanInterceptor.java#L50,,,
35,WELD-1639,See also {{org.jboss.cdi.tck.tests.event.observer.wildcardAndTypeVariable.ObserverMethodWithParametertizedTypeTest.testObserverMethodCanObserveArrayWildcard()}},,,
40,WELD-1636,"See the sections ""11.5.6 ProcessAnnotatedType event"" and ""11.4 Alternative metadata sources"".",,,
45,WELD-1436,"I have a chain of decorators for a managed bean.

If they are enabled, the container tries to proxy the managed bean, although it uses the default @Dependent scope. When creating the proxy, it ignores the injected constructor with parameters and tries to use the default constructor with no parameters instead. As a result, this fails with an InstantiationException:

{code}
Exception in thread ""main"" org.jboss.weld.exceptions.WeldException: WELD-000033 Could not instantiate client proxy for org.jboss.weld.bean.proxy.DecorationHelper@62fa5ff3
	at org.jboss.weld.bean.proxy.DecorationHelper.createProxy(DecorationHelper.java:118)
	at org.jboss.weld.bean.proxy.DecorationHelper.getNextDelegate(DecorationHelper.java:101)
	at org.jboss.weld.injection.producer.AbstractDecoratorApplyingInstantiator.getOuterDelegate(AbstractDecoratorApplyingInstantiator.java:75)
	at org.jboss.weld.injection.producer.SubclassDecoratorApplyingInstantiator.applyDecorators(SubclassDecoratorApplyingInstantiator.java:45)
	at org.jboss.weld.injection.producer.AbstractDecoratorApplyingInstantiator.newInstance(AbstractDecoratorApplyingInstantiator.java:65)
	at org.jboss.weld.injection.producer.BasicInjectionTarget.produce(BasicInjectionTarget.java:86)
	at org.jboss.weld.injection.producer.BeanInjectionTarget.produce(BeanInjectionTarget.java:173)
	at org.jboss.weld.bean.ManagedBean.create(ManagedBean.java:157)
	at org.jboss.weld.context.unbound.DependentContextImpl.get(DependentContextImpl.java:69)
	at org.jboss.weld.manager.BeanManagerImpl.getReference(BeanManagerImpl.java:718)
	at org.jboss.weld.manager.BeanManagerImpl.getReference(BeanManagerImpl.java:774)
	at org.jboss.weld.injection.FieldInjectionPoint.inject(FieldInjectionPoint.java:92)
	at org.jboss.weld.util.Beans.injectBoundFields(Beans.java:372)
	at org.jboss.weld.util.Beans.injectFieldsAndInitializers(Beans.java:381)
	at org.jboss.weld.injection.producer.DefaultInjector.inject(DefaultInjector.java:72)
	at org.jboss.weld.injection.producer.ResourceInjector.inject(ResourceInjector.java:60)
	at org.jboss.weld.injection.producer.DefaultInjector$1.proceed(DefaultInjector.java:66)
	at org.jboss.weld.injection.InjectionContextImpl.run(InjectionContextImpl.java:48)
	at org.jboss.weld.injection.producer.DefaultInjector.inject(DefaultInjector.java:64)
	at org.jboss.weld.injection.producer.BasicInjectionTarget.inject(BasicInjectionTarget.java:91)
	at org.jboss.weld.bean.ManagedBean.create(ManagedBean.java:158)
	at org.jboss.weld.context.AbstractContext.get(AbstractContext.java:103)
	at org.jboss.weld.manager.BeanManagerImpl.getReference(BeanManagerImpl.java:718)
	at org.jboss.weld.event.ObserverMethodImpl.getReceiver(ObserverMethodImpl.java:302)
	at org.jboss.weld.event.ObserverMethodImpl.getReceiverIfExists(ObserverMethodImpl.java:295)
	at org.jboss.weld.event.ObserverMethodImpl.sendEvent(ObserverMethodImpl.java:259)
	at org.jboss.weld.event.ObserverMethodImpl.notify(ObserverMethodImpl.java:240)
	at org.jboss.weld.event.ObserverNotifier.notifyObserver(ObserverNotifier.java:171)
	at org.jboss.weld.event.ObserverNotifier.notifyObserver(ObserverNotifier.java:167)
	at org.jboss.weld.event.ObserverNotifier.notifyObservers(ObserverNotifier.java:121)
	at org.jboss.weld.event.ObserverNotifier.fireEvent(ObserverNotifier.java:114)
	at org.jboss.weld.event.EventImpl.fire(EventImpl.java:84)
	at org.jboss.weld.environment.se.Weld.initialize(Weld.java:153)
	at org.jboss.weld.environment.se.StartMain.go(StartMain.java:41)
	at org.jboss.weld.environment.se.StartMain.main(StartMain.java:52)
Caused by: java.lang.InstantiationException: com.company.mavenproject1.StandardPrinter$Proxy$_$$_Weld$Proxy$
	at java.lang.Class.newInstance0(Class.java:342)
	at java.lang.Class.newInstance(Class.java:310)
	at org.jboss.weld.security.NewInstanceAction.run(NewInstanceAction.java:33)
	at java.security.AccessController.doPrivileged(Native Method)
	at org.jboss.weld.bean.proxy.DecorationHelper.createProxy(DecorationHelper.java:109)
	... 34 more
{code}

If I disable the chain of decorators or refactor the managed bean to use a private @Inject field, then the example works as designed.

I assess this as a critical bug because I don't want to rely on private field injection.

I have attached a ZIP file with the sample code.
",,,
