,diff,commit_id,summary,commit_time,files
844,"@@ -23,7 +23,6 @@
 import static org.wildfly.security.http.HttpConstants.AUTH;
 import static org.wildfly.security.http.HttpConstants.AUTHORIZATION;
 import static org.wildfly.security.http.HttpConstants.CNONCE;
 import static org.wildfly.security.http.HttpConstants.DIGEST_NAME;
 import static org.wildfly.security.http.HttpConstants.NC;
 import static org.wildfly.security.http.HttpConstants.QOP;
 import static org.wildfly.security.http.HttpConstants.URI;
@@ -84,20 +83,22 @@ final class DigestAuthenticationMechanism implements HttpServerAuthenticationMec
     private final NonceManager nonceManager;
     private final String configuredRealm;
     private final String domain;
     private final String algorithm;
 
     DigestAuthenticationMechanism(CallbackHandler callbackHandler, NonceManager nonceManager, String configuredRealm, String domain, String algorithm, Supplier<Provider[]> providers) {
         this.callbackHandler = callbackHandler;
         this.nonceManager = nonceManager;
         this.configuredRealm = configuredRealm;
         this.domain = domain;
         this.algorithm = algorithm;
         this.providers = providers;
     }
 
     @Override
     public String getMechanismName() {
         return DIGEST_NAME;
     }
 
     @Override
",123,,,
845,"@@ -85,6 +85,8 @@ public String[] getMechanismNames(Map<String, ?> properties) {
         mechanismNames.add(BASIC_NAME);
         mechanismNames.add(CLIENT_CERT_NAME);
         mechanismNames.add(DIGEST_NAME);
         mechanismNames.add(FORM_NAME);
         mechanismNames.add(SPNEGO_NAME);
         mechanismNames.add(BEARER_TOKEN);
@@ -107,11 +109,11 @@ public HttpServerAuthenticationMechanism createAuthenticationMechanism(String me
             case CLIENT_CERT_NAME:
                 return new ClientCertAuthenticationMechanism(callbackHandler);
             case DIGEST_NAME:
                 return new DigestAuthenticationMechanism(callbackHandler, nonceManager, (String) properties.get(CONFIG_REALM), (String) properties.get(CONFIG_CONTEXT_PATH), MD5, providers);
             case DIGEST_SHA256_NAME:
                 return new DigestAuthenticationMechanism(callbackHandler, nonceManager, (String) properties.get(CONFIG_REALM), (String) properties.get(CONFIG_CONTEXT_PATH), SHA256, providers);
             case DIGEST_SHA512_256_NAME:
                 return new DigestAuthenticationMechanism(callbackHandler, nonceManager, (String) properties.get(CONFIG_REALM), (String) properties.get(CONFIG_CONTEXT_PATH), SHA512_256, providers);
             case FORM_NAME:
                 return new FormAuthenticationMechanism(callbackHandler, properties);
             case SPNEGO_NAME:
",484,,,
850,"@@ -21,6 +21,7 @@
 import static java.security.AccessController.doPrivileged;
 import static java.security.AccessController.getContext;
 import static org.wildfly.security._private.ElytronMessages.log;
 
 import java.io.IOException;
 import java.net.URI;
@@ -32,7 +33,6 @@
 import java.security.PrivateKey;
 import java.security.PrivilegedAction;
 import java.security.Provider;
 import java.security.Security;
 import java.security.cert.CertificateException;
 import java.security.cert.X509Certificate;
 import java.security.spec.AlgorithmParameterSpec;
@@ -168,7 +168,7 @@ public final class AuthenticationConfiguration {
             WildFlySecurityManager.isChecking() ?
                     AccessController.doPrivileged((PrivilegedAction<ServiceLoaderSupplier<Provider>>) () -> new ServiceLoaderSupplier<>(Provider.class, AuthenticationConfiguration.class.getClassLoader())) :
                     new ServiceLoaderSupplier<>(Provider.class, AuthenticationConfiguration.class.getClassLoader()),
             Security::getProviders);
 
     /**
      * An empty configuration which can be used as the basis for any configuration.  This configuration supports no
@@ -503,7 +503,7 @@ Principal getAuthorizationPrincipal() {
 
     Supplier<Provider[]> getProviderSupplier() {
         final Supplier<Provider[]> providerSupplier = this.providerSupplier;
         return providerSupplier == null ? Security::getProviders : providerSupplier;
     }
 
     SaslClientFactory getSaslClientFactory(Supplier<Provider[]> providers) {
",58,,,
851,"@@ -24,6 +24,7 @@
 import static org.wildfly.common.Assert.checkNotNullParam;
 import static org.wildfly.security._private.ElytronMessages.xmlLog;
 import static org.wildfly.security.util.ProviderUtil.findProvider;
 
 import java.io.FileInputStream;
 import java.io.FileNotFoundException;
@@ -43,7 +44,6 @@
 import java.security.PrivilegedAction;
 import java.security.Provider;
 import java.security.PublicKey;
 import java.security.Security;
 import java.security.cert.X509Certificate;
 import java.security.spec.InvalidKeySpecException;
 import java.util.ArrayList;
@@ -130,7 +130,7 @@ public final class ElytronXmlParser {
             AccessController.doPrivileged((PrivilegedAction<ServiceLoaderSupplier<Provider>>) () -> new ServiceLoaderSupplier<>(Provider.class, ElytronXmlParser.class.getClassLoader())) :
             new ServiceLoaderSupplier<>(Provider.class, ElytronXmlParser.class.getClassLoader());
 
     private static final Supplier<Provider[]> DEFAULT_PROVIDER_SUPPLIER = ProviderUtil.aggregate(ELYTRON_PROVIDER_SUPPLIER, Security::getProviders);
 
     static final Map<String, Version> KNOWN_NAMESPACES;
 
@@ -880,7 +880,7 @@ static Supplier<Provider[]> parseProvidersType(ConfigurationXMLStreamReader read
                         if (isSet(foundBits, 1)) throw reader.unexpectedElement();
                         foundBits = setBit(foundBits, 1);
                         parseEmptyType(reader);
                         providerSupplier = providerSupplier == null ? Security::getProviders : ProviderUtil.aggregate(providerSupplier, Security::getProviders);
                         break;
                     }
                     case ""use-service-loader"": {
",105,,,
852,"@@ -18,12 +18,13 @@
 
 package org.wildfly.security.auth.realm;
 
 import java.security.KeyStore;
 import java.security.KeyStoreException;
 import java.security.NoSuchAlgorithmException;
 import java.security.Principal;
 import java.security.Provider;
 import java.security.Security;
 import java.security.UnrecoverableEntryException;
 import java.security.cert.Certificate;
 import java.security.cert.X509Certificate;
@@ -62,7 +63,7 @@ public class KeyStoreBackedSecurityRealm implements SecurityRealm {
      * @param keyStore the keystore to use to back this realm
      */
     public KeyStoreBackedSecurityRealm(final KeyStore keyStore) {
         this(keyStore, Security::getProviders);
     }
 
     /**
",89,,,
853,"@@ -21,6 +21,7 @@
 import static org.wildfly.security._private.ElytronMessages.log;
 import static org.wildfly.security.password.interfaces.ClearPassword.ALGORITHM_CLEAR;
 import static org.wildfly.security.password.interfaces.DigestPassword.ALGORITHM_DIGEST_MD5;
 
 import java.io.BufferedReader;
 import java.io.IOException;
@@ -31,7 +32,6 @@
 import java.security.NoSuchAlgorithmException;
 import java.security.Principal;
 import java.security.Provider;
 import java.security.Security;
 import java.security.spec.AlgorithmParameterSpec;
 import java.security.spec.InvalidKeySpecException;
 import java.util.Collections;
@@ -363,7 +363,7 @@ public static Builder builder() {
      */
     public static class Builder {
 
         private Supplier<Provider[]> providers = Security::getProviders;
         private InputStream usersStream;
         private InputStream groupsStream;
         private String defaultRealm = null;
",21,,,
854,"@@ -19,10 +19,10 @@
 package org.wildfly.security.auth.realm;
 
 import static org.wildfly.common.Assert.checkNotNullParam;
 
 import java.security.Principal;
 import java.security.Provider;
 import java.security.Security;
 import java.security.spec.AlgorithmParameterSpec;
 import java.util.Collections;
 import java.util.Map;
@@ -64,7 +64,7 @@ public class SimpleMapBackedSecurityRealm implements SecurityRealm {
      * @param rewriter the name rewriter to use (cannot be {@code null})
      */
     public SimpleMapBackedSecurityRealm(final NameRewriter rewriter) {
         this(rewriter, Security::getProviders);
     }
 
     /**
",18,,,
855,"@@ -17,8 +17,9 @@
  */
 package org.wildfly.security.auth.realm.jdbc;
 
 import java.security.Provider;
 import java.security.Security;
 import java.util.ArrayList;
 import java.util.List;
 import java.util.function.Supplier;
@@ -32,7 +33,7 @@
  */
 public class JdbcSecurityRealmBuilder {
 
     private Supplier<Provider[]> providers = Security::getProviders;
     private List<QueryBuilder> queries = new ArrayList<>();
 
     JdbcSecurityRealmBuilder() {
",57,,,
856,"@@ -19,6 +19,7 @@
 package org.wildfly.security.auth.realm.ldap;
 
 import static org.wildfly.security._private.ElytronMessages.log;
 
 import org.wildfly.common.Assert;
 import org.wildfly.common.function.ExceptionSupplier;
@@ -32,7 +33,6 @@
 import javax.naming.ldap.LdapName;
 
 import java.security.Provider;
 import java.security.Security;
 import java.util.ArrayList;
 import java.util.Arrays;
 import java.util.List;
@@ -56,7 +56,7 @@ public class LdapSecurityRealmBuilder {
     private static final int DEFAULT_SEARCH_TIME_LIMIT = 10000;
 
     private boolean built = false;
     private Supplier<Provider[]> providers = Security::getProviders;
     private ExceptionSupplier<DirContext, NamingException> dirContextSupplier;
     private NameRewriter nameRewriter = NameRewriter.IDENTITY_REWRITER;
     private IdentityMapping identityMapping;
",72,,,
857,"@@ -18,9 +18,10 @@
 
 package org.wildfly.security.credential;
 
 import java.security.KeyStore;
 import java.security.Provider;
 import java.security.Security;
 import java.security.cert.X509Certificate;
 import java.security.spec.AlgorithmParameterSpec;
 import java.util.function.Function;
@@ -76,7 +77,7 @@ default boolean canVerify(Evidence evidence) {
      * @return {@code true} if the evidence is verified, {@code false} otherwise
      */
     default boolean verify(Evidence evidence) {
         return verify(Security::getProviders, evidence);
     }
 
     /**
",486,,,
