,diff,commit_id,summary,commit_time,files
0,"@@ -33,7 +33,7 @@ public void enterDropTable(MySqlParser.DropTableContext ctx) {
         ctx.tables().tableName().forEach(tableNameContext -> {
             TableId tableId = parser.parseQualifiedTableId(tableNameContext.fullId());
             parser.databaseTables().removeTable(tableId);
             parser.signalDropTable(tableId, prefix + tableId.table()
                     + (ctx.dropType != null ? "" "" + ctx.dropType.getText() : """"));
         });
         super.enterDropTable(ctx);
",64,,,
1,"@@ -1079,7 +1079,7 @@ public void shouldParseMultipleStatements() {
         parser.parse(ddl, tables);
         assertThat(tables.size()).isEqualTo(0); // table created and dropped
         listener.assertNext().createTableNamed(""foo"").ddlStartsWith(""CREATE TABLE foo ("");
         listener.assertNext().dropTableNamed(""foo"").ddlMatches(""DROP TABLE foo"");
     }
 
     @Test
",135,,,
2,"@@ -0,0 +1,78 @@
",111,,,
3,"@@ -41,12 +41,12 @@ public class UniqueDatabase {
 
     private static final String DEFAULT_DATABASE = ""mysql"";
     private static final String[] CREATE_DATABASE_DDL = new String[]{
             ""CREATE DATABASE $DBNAME$;"",
             ""USE $DBNAME$;""
     };
     private static final String[] CREATE_DATABASE_WITH_CHARSET_DDL = new String[]{
             ""CREATE DATABASE $DBNAME$ CHARSET $CHARSET$;"",
             ""USE $DBNAME$;""
     };
     private static final Pattern COMMENT_PATTERN = Pattern.compile(""^(.*)--.*$"");
 
",136,,,
4,"@@ -0,0 +1,5 @@
",137,,,
5,"@@ -28,7 +28,7 @@ public class MySqlDatabaseHistoryIT extends AbstractConnectorTest {
     private static final Path DB_HISTORY_PATH = Testing.Files.createTestingPath(""file-db-history-json.txt"")
             .toAbsolutePath();
 
     private static final int TABLE_COUNT = 1;
 
     private UniqueDatabase DATABASE;
 
@@ -57,7 +57,7 @@ public void afterEach() {
 
     @Test
     @FixFor(""DBZ-3485"")
     public void shouldConsumeAllEventsFromDatabaseUsingBinlogAndNoSnapshot() throws SQLException, InterruptedException {
         config = DATABASE.defaultConfig()
                 .with(MySqlConnectorConfig.SNAPSHOT_MODE, MySqlConnectorConfig.SnapshotMode.SCHEMA_ONLY)
                 .build();
@@ -75,4 +75,79 @@ public void shouldConsumeAllEventsFromDatabaseUsingBinlogAndNoSnapshot() throws
         assertConnectorIsRunning();
         stopConnector();
     }
 }
",111,,,
6,"@@ -2,4 +2,5 @@
 -- DATABASE:  history
 -- ----------------------------------------------------------------------------------------------------------------
 
 CREATE TABLE `t-1` (ID INT PRIMARY KEY);
",137,,,
7,"@@ -20,6 +20,8 @@
 import org.antlr.v4.runtime.tree.ParseTree;
 import org.antlr.v4.runtime.tree.ParseTreeWalker;
 
 import io.debezium.relational.TableId;
 import io.debezium.relational.Tables;
 import io.debezium.relational.ddl.AbstractDdlParser;
@@ -242,6 +244,21 @@ public void signalCreateTable(TableId id, ParserRuleContext ctx) {
         signalCreateTable(id, getText(ctx));
     }
 
     /**
      * Signal an alter table event to ddl changes listener.
      *
",138,,,
8,"@@ -7,7 +7,11 @@
 
 import java.nio.file.Path;
 import java.sql.SQLException;
 
 import org.junit.After;
 import org.junit.Before;
 import org.junit.Test;
@@ -68,7 +72,7 @@ public void shouldUseQuotedNameInDrop() throws SQLException, InterruptedExceptio
         Testing.Print.enable();
         // SET + USE + Drop DB + create DB + CREATE/DROP for each table
         SourceRecords records = consumeRecordsByTopic(1 + 1 + 1 + 1 + TABLE_COUNT * 2);
 
         stopConnector();
 
         start(MySqlConnector.class, config);
@@ -89,10 +93,13 @@ public void shouldStoreSingleRename() throws SQLException, InterruptedException
         Testing.Print.enable();
         // SET + USE + Drop DB + create DB + CREATE/DROP for each table
         SourceRecords records = consumeRecordsByTopic(1 + 1 + 1 + 1 + TABLE_COUNT * 2);
         try (MySqlTestConnection connection = MySqlTestConnection.forTestDatabase(DATABASE.getDatabaseName())) {
             connection.execute(""RENAME TABLE `t-1` TO `new-t-1`"");
         }
         records = consumeRecordsByTopic(1);
 
         stopConnector();
 
@@ -106,6 +113,7 @@ public void shouldStoreSingleRename() throws SQLException, InterruptedException
     public void shouldStoreMultipleRenames() throws SQLException, InterruptedException {
         config = DATABASE.defaultConfig()
                 .with(MySqlConnectorConfig.SNAPSHOT_MODE, MySqlConnectorConfig.SnapshotMode.SCHEMA_ONLY)
                 .build();
 
         // Start the connector ...
@@ -118,6 +126,9 @@ public void shouldStoreMultipleRenames() throws SQLException, InterruptedExcepti
             connection.execute(""RENAME TABLE `t-1` TO `new-t-1`, `t.2` TO `new.t.2`"");
         }
         records = consumeRecordsByTopic(2);
 
         stopConnector();
 
@@ -143,11 +154,30 @@ public void shouldStoreAlterRename() throws SQLException, InterruptedException {
             connection.execute(""ALTER TABLE `t-1` RENAME TO `new-t-1`"");
         }
         records = consumeRecordsByTopic(1);
 
         stopConnector();
 
         start(MySqlConnector.class, config);
         assertConnectorIsRunning();
         stopConnector();
     }
 }
",111,,,
9,"@@ -373,7 +373,9 @@ public void changeRecord(DataCollectionSchema dataCollectionSchema,
 
             LOGGER.trace(""Received change record for {} operation on key {}"", operation, key);
 
             Schema keySchema = dataCollectionSchema.keySchema();
             String topicName = topicSelector.topicNameFor((T) dataCollectionSchema.id());
 
             SourceRecord record = new SourceRecord(offsetContext.getPartition(),
",139,,,
