,diff,commit_id,summary,commit_time,files
0,"@@ -16,6 +16,7 @@
  */
 package org.jboss.weld.resources;
 
 import java.util.Hashtable;
 import java.util.Map.Entry;
 
@@ -35,8 +36,11 @@ public class ManagerObjectFactory implements ObjectFactory {
      * The id of a bean deployment archive whose BeanManager should be used as a result of a JNDI ""java:comp/env/BeanManager"" lookup.
      */
     public static final String FLAT_BEAN_DEPLOYMENT_ID = ""flat"";
     public static final String WEB_INF_CLASSES = ""/WEB-INF/classes"";
 
     private final String contextId;
 
     public ManagerObjectFactory() {
@@ -51,7 +55,7 @@ public Object getObjectInstance(Object obj, Name name, Context nameCtx, Hashtabl
         if (Container.available(contextId)) {
             for (Entry<BeanDeploymentArchive, BeanManagerImpl> entry : Container.instance(contextId).beanDeploymentArchives().entrySet()) {
                 BeanDeploymentArchive bda = entry.getKey();
                 if (bda.getId().equals(FLAT_BEAN_DEPLOYMENT_ID) || bda.getId().contains(WEB_INF_CLASSES)) {
                     return entry.getValue().getCurrent();
                 }
             }
",90,,,
1,"@@ -45,8 +45,8 @@
 
 /**
  * @author Nicklas Karlsson
  */
 @SuppressWarnings(value = ""SE_BAD_FIELD"", justification = ""InstanceImpl, which we actually use, is serializable"")
 public class ConversationImpl implements ManagedConversation, Serializable {
 
     private static final long serialVersionUID = 8873338254645033645L;
@@ -60,31 +60,17 @@ public class ConversationImpl implements ManagedConversation, Serializable {
     private ReentrantLock concurrencyLock;
     private long lastUsed;
 
     private final Instance<ConversationContext> conversationContexts;
 
     @Inject
     public ConversationImpl(Instance<ConversationContext> conversationContexts) {
         this.conversationContexts = conversationContexts;
         this._transient = true;
         ConversationContext conversationContext = getConversationContext();
         if (conversationContext != null) {
             this.timeout = conversationContext.getDefaultTimeout();
         } else {
             this.timeout = 0;
         }
         this.concurrencyLock = new ReentrantLock();
         touch();
     }
 
     private ConversationContext getConversationContext() {
         for (ConversationContext conversationContext : conversationContexts) {
             if (conversationContext.isActive()) {
                 return conversationContext;
             }
         }
         return null;
     }
 
     public void begin() {
         verifyConversationContextActive();
         if (!_transient) {
@@ -93,7 +79,7 @@ public void begin() {
         _transient = false;
         if (this.id == null) {
             // This a conversation that was made transient previously in this request
             this.id = getConversationContext().generateConversationId();
         }
         log.debug(PROMOTED_TRANSIENT, id);
     }
@@ -103,7 +89,7 @@ public void begin(String id) {
         if (!_transient) {
             throw new IllegalStateException(BEGIN_CALLED_ON_LONG_RUNNING_CONVERSATION);
         }
         if (getConversationContext().getConversation(id) != null) {
             throw new IllegalArgumentException(CONVERSATION_ID_ALREADY_IN_USE, id);
         }
         _transient = false;
@@ -196,10 +182,76 @@ public boolean unlock() {
     }
 
     private void verifyConversationContextActive() {
         ConversationContext ctx = getConversationContext();
         if (ctx == null) {
             throw new ContextNotActiveException(""Conversation Context not active when method called on conversation "" + this);
         }
     }
 
 }
",114,,,
2,"@@ -65,12 +65,12 @@ public void testCallToConversationWithContextNotActive() {
             protected void work() {
                 try {
                     Utils.getReference(beanManager, Conversation.class).getId();
                     Assert.fail();
                 } catch (ContextNotActiveException e) {
                     // Expected
                 } catch (Exception e) {
                     e.printStackTrace();
                     Assert.fail();
                 }
                 try {
                     Utils.getReference(beanManager, Conversation.class).getTimeout();
",202,,,
3,"@@ -49,7 +49,7 @@
  */
 public class ConversationImpl implements ManagedConversation, Serializable {
 
     private static final long serialVersionUID = 8873338254645033645L;
 
     private static final LocLogger log = loggerFactory().getLogger(CONVERSATION);
 
@@ -189,9 +189,9 @@ private void verifyConversationContextActive() {
 
 
     @SuppressWarnings(value = ""SE_BAD_FIELD"", justification = ""InstanceImpl, which we actually use, is serializable"")
     private class ActiveConversationContextProxy implements Serializable {
 
         private static final long serialVersionUID = 1L;
 
         private final Instance<ConversationContext> conversationContexts;
 
",114,,,
4,"@@ -19,11 +19,13 @@
 import java.net.URL;
 import java.util.LinkedList;
 import java.util.List;
 import java.util.concurrent.Callable;
 import java.util.concurrent.ExecutorService;
 import java.util.concurrent.Executors;
 import java.util.concurrent.Future;
 
 import org.jboss.arquillian.container.test.api.Deployment;
 import org.jboss.arquillian.junit.Arquillian;
 import org.jboss.arquillian.test.api.ArquillianResource;
@@ -37,7 +39,7 @@
 import org.junit.experimental.categories.Category;
 import org.junit.runner.RunWith;
 
 import com.gargoylesoftware.htmlunit.TextPage;
 import com.gargoylesoftware.htmlunit.WebClient;
 
 /**
@@ -54,7 +56,7 @@ public class SessionScopedProducerTest {
     private volatile URL url;
 
     private final WebClient client = new WebClient();
     
     private final ExecutorService executor = Executors.newCachedThreadPool();
 
     @Deployment(testable = false)
@@ -66,11 +68,11 @@ public static Archive<?> getDeployment() {
     @Test
     public void test() throws Exception {
         client.getPage(url.toString() + ""/initial"");
         client.setThrowExceptionOnFailingStatusCode(false);
 
         List<Callable<Void>> requests = new LinkedList<Callable<Void>>();
         requests.add(new ConcurrentRequest());
         requests.add(new ConcurrentRequest());
 
         for (Future<Void> result : executor.invokeAll(requests)) {
             result.get();
@@ -84,10 +86,20 @@ public void shutdown() {
 
     private class ConcurrentRequest implements Callable<Void> {
 
         public Void call() throws Exception {
             TextPage page = client.getPage(url);
             if (page.getWebResponse().getStatusCode() == 500) {
                 throw new RuntimeException(page.getContent());
             }
             return null;
         }
",258,,,
5,"@@ -158,7 +158,11 @@ public void requestInitialized(HttpServletRequest request, ServletContext ctx) {
             }
             beanManager.getAccessibleLenientObserverNotifier().fireEvent(request, InitializedLiteral.REQUEST);
         } catch (RuntimeException e) {
             requestDestroyed(request);
             /*
              * If the servlet container happens to call the destroyed callback again, ignore it.
              */
",41,,,
6,"@@ -107,10 +107,12 @@ public void release() {
 
     // should not be public
     public void release(Contextual<T> contextual, T instance) {
         for (ContextualInstance<?> dependentInstance : dependentInstances) {
             // do not destroy contextual again, since it's just being destroyed
             if (contextual == null || !(dependentInstance.getContextual().equals(contextual))) {
                 destroy(dependentInstance);
             }
         }
         if (resourceReferences != null) {
@@ -140,29 +142,31 @@ public List<ContextualInstance<?>> getDependentInstances() {
 
     // Serialization
     protected Object writeReplace() throws ObjectStreamException {
         for (Iterator<ContextualInstance<?>> iterator = dependentInstances.iterator(); iterator.hasNext(); ) {
             ContextualInstance<?> instance = iterator.next();
             if (!(instance.getInstance() instanceof Serializable)) {
                 /*
                  * This non-serializable instance is a dependency of a passivation capable enclosing bean. This means that:
                  *
                  * 1) The dependency was injected into a transient field, constructor or initializer injection point of the
                  * enclosing bean instance (otherwise it would not pass deployment validation) and is no longer retained by the
                  * enclosing bean instance. In that case we can safely destroy the dependent instance now.
                  *
                  * 2) Same as above but the enclosing bean instance retained a reference in a field that Weld has no control of.
                  * If that is the case and the bean class does not implement serialization properly, serialization of the bean
                  * instance is going to fail anyway so it is safe to destroy the dependent instance now.
                  *
                  * 3) Same as above but the bean class implements serialization properly (writeObject) so that it is able to
                  * reconstruct the state of the injected dependency on activation. If that's the case we would probably won't be
                  * able to destroy the dependency later on anyway since the identity of the dependent instance would change.
                  * Destroying it now may be risky in certain circumstances.
                  *
                  * @see https://issues.jboss.org/browse/WELD-1076
                  */
                 destroy(instance);
                 iterator.remove();
             }
         }
         return this;
@@ -185,12 +189,14 @@ public void addDependentResourceReference(ResourceReference<?> resourceReference
      * @return true if the instance was destroyed, false otherwise
      */
     public boolean destroyDependentInstance(T instance) {
         for (Iterator<ContextualInstance<?>> iterator = dependentInstances.iterator(); iterator.hasNext();) {
             ContextualInstance<?> contextualInstance = iterator.next();
             if (contextualInstance.getInstance().equals(instance)) {
                 iterator.remove();
                 destroy(contextualInstance);
                 return true;
             }
         }
         return false;
",88,,,
7,"@@ -6,7 +6,6 @@
 import javax.enterprise.context.Conversation;
 import javax.enterprise.context.RequestScoped;
 import javax.enterprise.context.spi.CreationalContext;
 import javax.enterprise.inject.Instance;
 import javax.enterprise.inject.spi.InjectionPoint;
 
 import org.jboss.weld.bootstrap.BeanDeployerEnvironment;
@@ -16,16 +15,13 @@
 
 public class ConversationBean extends AbstractStaticallyDecorableBuiltInBean<Conversation> {
 
     private Instance<ConversationContext> conversationContexts;
 
     public ConversationBean(BeanManagerImpl beanManager) {
         super(beanManager, Conversation.class);
     }
 
     @Override
     public void internalInitialize(BeanDeployerEnvironment environment) {
         super.internalInitialize(environment);
         this.conversationContexts = getBeanManager().instance().select(ConversationContext.class);
     }
 
     @Override
@@ -40,7 +36,7 @@ protected Conversation newInstance(InjectionPoint ip, CreationalContext<Conversa
         * return this dummy Conversation which will simply throw a
         * ContextNotActiveException for every method call as the spec requires.
         */
         return new ConversationImpl(conversationContexts);
     }
 
     public void destroy(Conversation instance, CreationalContext<Conversation> creationalContext) {
",259,,,
8,"@@ -36,7 +36,6 @@
 import java.util.concurrent.atomic.AtomicReference;
 
 import javax.enterprise.context.ConversationScoped;
 import javax.enterprise.inject.Instance;
 
 import org.jboss.weld.Container;
 import org.jboss.weld.context.beanstore.BoundBeanStore;
@@ -73,8 +72,6 @@ public abstract class AbstractConversationContext<R, S> extends AbstractBoundCon
 
     private final ThreadLocal<R> associated;
 
     private final Instance<ConversationContext> conversationContexts;
 
     private final BeanManagerImpl manager;
 
     public AbstractConversationContext(String contextId) {
@@ -84,7 +81,6 @@ public AbstractConversationContext(String contextId) {
         this.concurrentAccessTimeout = new AtomicLong(CONCURRENT_ACCESS_TIMEOUT);
         this.associated = new ThreadLocal<R>();
         this.manager = Container.instance(contextId).deploymentManager();
         this.conversationContexts = manager.instance().select(ConversationContext.class);
     }
 
     public String getParameterName() {
@@ -180,7 +176,7 @@ public void activate() {
     }
 
     protected void associateRequest() {
         ManagedConversation conversation = new ConversationImpl(conversationContexts);
         setRequestAttribute(getRequest(), CURRENT_CONVERSATION_ATTRIBUTE_NAME, conversation);
 
         // Set a temporary bean store, this will be attached at the end of the request if needed
",64,,,
9,"@@ -45,6 +45,15 @@ public static Context wrap(Context context, ContextualStore store) {
         }
     }
 
     private abstract static class AbstractPassivatingContextWrapper<C extends Context> extends ForwardingContext {
 
         private final C context;
",20,,,
